diseaseId,diseaseName,is_leaf_term,is_therapeutic_area,targetEnsemblId,targetSymbol,score,uniprot,passed,reason,n_candidates_checked,best_pdb_id,best_chain,ligand,resolution,resolution_tier,r_free,modeled_residues,ligand_RSCC,ligand_RSR,organism_bacterial,chembl_target_ids,best_chembl_target_id,chembl_counts_all,activity_type,activity_records
MONDO_0003847,hereditary disease,False,False,ENSG00000169083,AR,0.9135,P10275,True,,94.0,7ZTZ,A,DHT,1.4,high,0.2196,243.0,0.958,0.077,False,CHEMBL1871;CHEMBL4296118;CHEMBL4523653;CHEMBL4523684;CHEMBL4523730;CHEMBL5169084;CHEMBL6193822,CHEMBL1871,CHEMBL1871=4664;CHEMBL4296118=0;CHEMBL4523653=1;CHEMBL4523684=0;CHEMBL4523730=0;CHEMBL5169084=0;CHEMBL6193822=0,IC50,4664.0
MONDO_0003847,hereditary disease,False,False,ENSG00000113721,PDGFRB,0.9104,P09619,True,,2.0,3MJG,X,NDG,2.3,high,0.277,745.0,0.848,0.13,False,CHEMBL1913;CHEMBL2095189;CHEMBL2111440;CHEMBL4523729;CHEMBL4879531,CHEMBL1913,CHEMBL1913=2965;CHEMBL2095189=431;CHEMBL2111440=0;CHEMBL4523729=0;CHEMBL4879531=0,IC50,2965.0
MONDO_0003847,hereditary disease,False,False,ENSG00000036828,CASR,0.9098,P41180,True,,4.0,5FBK,B,NAG,2.1,high,0.2227,954.0,0.899,0.102,False,CHEMBL1878,CHEMBL1878,CHEMBL1878=418,IC50,418.0
MONDO_0003847,hereditary disease,False,False,ENSG00000007314,SCN4A,0.9092,P35499,True,,2.0,6MBA,B,CO3,1.799,high,0.2335,275.0,0.847,0.125,False,CHEMBL2072;CHEMBL2331043;CHEMBL4630762,CHEMBL2072,CHEMBL2072=474;CHEMBL2331043=16;CHEMBL4630762=1,IC50,474.0
MONDO_0003847,hereditary disease,False,False,ENSG00000164362,TERT,0.9086,O14746,True,,8.0,5MER,E,MES,1.88,high,0.2243,770.0,0.799,0.237,False,CHEMBL2916,CHEMBL2916,CHEMBL2916=1017,IC50,1017.0
MONDO_0003847,hereditary disease,False,False,ENSG00000179295,PTPN11,0.9085,Q06124,True,,84.0,7PPL,A,EOH,1.53,high,0.1972,288.0,0.892,0.106,False,CHEMBL3864;CHEMBL4630742;CHEMBL4879528,CHEMBL3864,CHEMBL3864=4957;CHEMBL4630742=0;CHEMBL4879528=0,IC50,4957.0
MONDO_0003847,hereditary disease,False,False,ENSG00000213281,NRAS,0.9077,P01111,True,,27.0,9BG8,B,GNP,1.2,high,0.1858,666.0,0.993,0.034,False,CHEMBL2079845;CHEMBL4524006;CHEMBL6193817;CHEMBL6195563,CHEMBL2079845,CHEMBL2079845=416;CHEMBL4524006=4;CHEMBL6193817=0;CHEMBL6195563=0,IC50,416.0
MONDO_0003847,hereditary disease,False,False,ENSG00000101981,F9,0.9071,P00740,True,,42.0,5JB9,S,0G6,1.3,high,0.1762,286.0,0.978,0.042,False,CHEMBL2016;CHEMBL2111424;CHEMBL4296076,CHEMBL2016,CHEMBL2016=600;CHEMBL2111424=0;CHEMBL4296076=6,IC50,600.0
MONDO_0003847,hereditary disease,False,False,ENSG00000171298,GAA,0.907,P10253,True,,19.0,8CB1,A,PGE,1.75,high,0.1749,846.0,0.918,0.118,False,CHEMBL2608;CHEMBL3833502,CHEMBL3833502,CHEMBL2608=243;CHEMBL3833502=838,IC50,838.0
MONDO_0003847,hereditary disease,False,False,ENSG00000163513,TGFBR2,0.9063,P37173,True,,12.0,5E8Y,A,STU,2.05,high,0.2272,298.0,0.909,0.08,False,CHEMBL4267,CHEMBL4267,CHEMBL4267=997,IC50,997.0
MONDO_0003847,hereditary disease,False,False,ENSG00000183454,GRIN2A,0.9062,Q12879,True,,12.0,5H8F,B,GLY,1.81,high,0.2069,557.0,0.983,0.036,False,CHEMBL1907604;CHEMBL1972;CHEMBL2094124;CHEMBL5483086,CHEMBL2094124,CHEMBL1907604=278;CHEMBL1972=88;CHEMBL2094124=617;CHEMBL5483086=1,IC50,617.0
MONDO_0003847,hereditary disease,False,False,ENSG00000132155,RAF1,0.9062,P04049,True,,53.0,3IQV,A,FSC,1.2,high,0.15322,242.0,0.967,0.065,False,CHEMBL1906;CHEMBL2111351;CHEMBL3559685;CHEMBL3883317;CHEMBL3885566;CHEMBL4106189;CHEMBL5291962;CHEMBL5291977,CHEMBL1906,CHEMBL1906=5570;CHEMBL2111351=139;CHEMBL3559685=2;CHEMBL3883317=0;CHEMBL3885566=2;CHEMBL4106189=0;CHEMBL5291962=0;CHEMBL5291977=26,IC50,5570.0
MONDO_0003847,hereditary disease,False,False,ENSG00000171105,INSR,0.9025,P06213,True,,26.0,3BU5,A,ATP,2.1,high,0.23927,306.0,0.818,0.133,False,CHEMBL1981,CHEMBL1981,CHEMBL1981=1858,IC50,1858.0
MONDO_0003847,hereditary disease,False,False,ENSG00000162551,ALPL,0.9005,P05186,True,,3.0,7YIW,E,NAG,2.89,fallback,0.2304,3869.0,0.739,0.126,False,CHEMBL5979,CHEMBL5979,CHEMBL5979=1319,IC50,1319.0
MONDO_0003847,hereditary disease,False,False,ENSG00000166311,SMPD1,0.9001,P17405,True,,4.0,5I81,A,NAG,2.25,high,0.2047,528.0,0.934,0.097,False,CHEMBL2760,CHEMBL2760,CHEMBL2760=212,IC50,212.0
MONDO_0003847,hereditary disease,False,False,ENSG00000097007,ABL1,0.8999,P00519,True,,69.0,7PVS,A,PGE,1.05,high,0.1843,117.0,0.942,0.084,False,CHEMBL1862;CHEMBL2096618;CHEMBL2111414;CHEMBL3885630;CHEMBL3885645;CHEMBL4296119;CHEMBL4296120;CHEMBL4296137;CHEMBL4523725;CHEMBL4523750;CHEMBL4523751;CHEMBL6193840;CHEMBL6193843,CHEMBL1862,CHEMBL1862=5295;CHEMBL2096618=1019;CHEMBL2111414=148;CHEMBL3885630=230;CHEMBL3885645=0;CHEMBL4296119=0;CHEMBL4296120=0;CHEMBL4296137=0;CHEMBL4523725=0;CHEMBL4523750=0;CHEMBL4523751=0;CHEMBL6193840=0;CHEMBL6193843=0,IC50,5295.0
MONDO_0003847,hereditary disease,False,False,ENSG00000169174,PCSK9,0.899,Q8NBP7,True,,52.0,9HZ3,B,A1IYR,1.432,high,0.2129,564.0,0.956,0.076,False,CHEMBL2929;CHEMBL4523996;CHEMBL6195583,CHEMBL4523996,CHEMBL2929=250;CHEMBL4523996=728;CHEMBL6195583=0,IC50,728.0
MONDO_0003847,hereditary disease,False,False,ENSG00000182578,CSF1R,0.8987,P07333,True,,24.0,8JOT,A,UKI,1.69,high,0.2071,306.0,0.904,0.103,False,CHEMBL1844,CHEMBL1844,CHEMBL1844=3974,IC50,3974.0
MONDO_0003847,hereditary disease,False,False,ENSG00000118271,TTR,0.8976,P02766,True,,150.0,1F86,B,T44,1.1,high,0.177,230.0,0.984,0.092,False,CHEMBL3194,CHEMBL3194,CHEMBL3194=347,IC50,347.0
MONDO_0003847,hereditary disease,False,False,ENSG00000145675,PIK3R1,0.8962,P27986,True,,65.0,4JPS,A,1LT,2.2,high,0.2278,1226.0,0.963,0.064,False,CHEMBL2111367;CHEMBL2111432;CHEMBL2506;CHEMBL3038510;CHEMBL3559703;CHEMBL4296106,CHEMBL2111367,CHEMBL2111367=1539;CHEMBL2111432=1453;CHEMBL2506=334;CHEMBL3038510=772;CHEMBL3559703=429;CHEMBL4296106=1,IC50,1539.0
MONDO_0003847,hereditary disease,False,False,ENSG00000177628,GBA1,0.8952,P04062,True,,57.0,6TN1,AAA,GLN,0.98,high,0.1282,496.0,0.897,0.072,False,CHEMBL2179;CHEMBL4106172,CHEMBL2179,CHEMBL2179=1039;CHEMBL4106172=1,IC50,1039.0
MONDO_0003847,hereditary disease,False,False,ENSG00000111199,TRPV4,0.895,Q9HBA0,True,,2.0,4DX2,A,BGC,2.95,fallback,0.2204,492.0,0.949,0.077,False,CHEMBL3119,CHEMBL3119,CHEMBL3119=698,IC50,698.0
MONDO_0003847,hereditary disease,False,False,ENSG00000258947,TUBB3,0.8949,Q13509,True,,2.0,6S8L,B,GDP,1.801,high,0.2655,999.0,0.984,0.042,False,CHEMBL2095182;CHEMBL2597;CHEMBL3832942;CHEMBL6066055;CHEMBL6066847,CHEMBL2095182,CHEMBL2095182=1526;CHEMBL2597=17;CHEMBL3832942=6;CHEMBL6066055=0;CHEMBL6066847=0,IC50,1526.0
MONDO_0003847,hereditary disease,False,False,ENSG00000117394,SLC2A1,0.8949,P11166,True,,5.0,6THA,A,BNG,2.4,high,0.2294,448.0,0.938,0.176,False,CHEMBL2535,CHEMBL2535,CHEMBL2535=1413,IC50,1413.0
MONDO_0003847,hereditary disease,False,False,ENSG00000037280,FLT4,0.8947,P35916,True,,1.0,4BSJ,A,NAG,2.5,high,0.2533,213.0,0.833,0.121,False,CHEMBL1955;CHEMBL2095227;CHEMBL2111409;CHEMBL3301389,CHEMBL1955,CHEMBL1955=715;CHEMBL2095227=243;CHEMBL2111409=0;CHEMBL3301389=0,IC50,715.0
MONDO_0003847,hereditary disease,False,False,ENSG00000106799,TGFBR1,0.8937,P36897,True,,39.0,8YHF,A,A1D6I,1.4,high,0.1924,298.0,0.961,0.057,False,CHEMBL4439,CHEMBL4439,CHEMBL4439=4166,IC50,4166.0
MONDO_0003847,hereditary disease,False,False,ENSG00000197594,ENPP1,0.8935,P22413,True,,5.0,6WFJ,AcA,AMP,2.5,high,0.2223,1613.0,0.93,0.095,False,CHEMBL5925,CHEMBL5925,CHEMBL5925=619,IC50,619.0
MONDO_0003847,hereditary disease,False,False,ENSG00000096968,JAK2,0.8925,O60674,True,,150.0,8BXH,A,C87,1.3,high,0.1681,300.0,0.963,0.088,False,CHEMBL2363062;CHEMBL2971;CHEMBL3038492;CHEMBL3301390;CHEMBL3301392;CHEMBL4630750;CHEMBL4742263;CHEMBL4802035;CHEMBL5482983,CHEMBL2971,CHEMBL2363062=144;CHEMBL2971=19301;CHEMBL3038492=91;CHEMBL3301390=39;CHEMBL3301392=68;CHEMBL4630750=0;CHEMBL4742263=0;CHEMBL4802035=0;CHEMBL5482983=0,IC50,19301.0
MONDO_0003847,hereditary disease,False,False,ENSG00000126934,MAP2K2,0.8899,P36507,True,,2.0,1S9I,A,ATP,3.2,fallback,0.36374,594.0,0.945,0.102,False,CHEMBL2111289;CHEMBL2964;CHEMBL4523690;CHEMBL4523734;CHEMBL4523755;CHEMBL4742286,CHEMBL2111289,CHEMBL2111289=187;CHEMBL2964=73;CHEMBL4523690=0;CHEMBL4523734=0;CHEMBL4523755=0;CHEMBL4742286=0,IC50,187.0
MONDO_0003847,hereditary disease,False,False,ENSG00000132170,PPARG,0.8898,P37231,True,,150.0,9F7W,A,2OH,1.25,high,0.1889,284.0,0.802,0.208,False,CHEMBL2095161;CHEMBL2095162;CHEMBL2095163;CHEMBL2096976;CHEMBL2111325;CHEMBL2111371;CHEMBL2111394;CHEMBL235;CHEMBL3559683,CHEMBL235,CHEMBL2095161=0;CHEMBL2095162=0;CHEMBL2095163=0;CHEMBL2096976=239;CHEMBL2111325=34;CHEMBL2111371=0;CHEMBL2111394=4;CHEMBL235=2356;CHEMBL3559683=0,IC50,2356.0
MONDO_0003847,hereditary disease,False,False,ENSG00000137745,MMP13,0.8896,P45452,True,,46.0,830C,A,RS1,1.6,high,0.266,330.0,,,False,CHEMBL2095216;CHEMBL2111422;CHEMBL280;CHEMBL4523970,CHEMBL280,CHEMBL2095216=16;CHEMBL2111422=0;CHEMBL280=3682;CHEMBL4523970=0,IC50,3682.0
MONDO_0003847,hereditary disease,False,False,ENSG00000005961,ITGA2B,0.8882,P08514,True,,50.0,7UDH,B,NAG,1.99998841007,high,0.213531650742,2702.0,0.7,0.114,False,CHEMBL2093869;CHEMBL2111443;CHEMBL212,CHEMBL2093869,CHEMBL2093869=2845;CHEMBL2111443=19;CHEMBL212=32,IC50,2845.0
MONDO_0003847,hereditary disease,False,False,ENSG00000197561,ELANE,0.8849,P08246,True,,26.0,9SI4,A,NAG,1.14,high,0.1549,218.0,0.858,0.144,False,CHEMBL248,CHEMBL248,CHEMBL248=3623,IC50,3623.0
MONDO_0003847,hereditary disease,False,False,ENSG00000259207,ITGB3,0.8845,P05106,True,,68.0,7UDH,B,NAG,1.99998841007,high,0.213531650742,2702.0,0.7,0.114,False,CHEMBL1907598;CHEMBL207;CHEMBL2093869;CHEMBL2111425;CHEMBL2111443;CHEMBL2111461;CHEMBL4106150,CHEMBL2093869,CHEMBL1907598=2158;CHEMBL207=0;CHEMBL2093869=2845;CHEMBL2111425=33;CHEMBL2111443=19;CHEMBL2111461=19;CHEMBL4106150=8,IC50,2845.0
MONDO_0003847,hereditary disease,False,False,ENSG00000169919,GUSB,0.8839,P08236,True,,1.0,3HN3,B,NAG,1.7,high,0.24,2430.0,0.843,0.108,False,CHEMBL2728,CHEMBL2728,CHEMBL2728=446,IC50,446.0
MONDO_0003847,hereditary disease,False,False,ENSG00000178209,PLEC,0.8824,Q15149,True,,5.0,2ODV,A,PGO,2.05,high,0.25599,217.0,0.874,0.138,False,CHEMBL1293240,CHEMBL1293240,CHEMBL1293240=457,IC50,457.0
MONDO_0003847,hereditary disease,False,False,ENSG00000134853,PDGFRA,0.8821,P16234,True,,13.0,6JOL,A,STI,1.9,high,0.2356,279.0,0.949,0.07,False,CHEMBL2007;CHEMBL2095189;CHEMBL4630733,CHEMBL2007,CHEMBL2007=1068;CHEMBL2095189=431;CHEMBL4630733=0,IC50,1068.0
MONDO_0003847,hereditary disease,False,False,ENSG00000140650,PMM2,0.8819,O15305,True,,7.0,7O58,A,G16,1.97,high,0.2299,484.0,0.799,0.112,False,CHEMBL1741162,CHEMBL1741162,CHEMBL1741162=229,IC50,229.0
MONDO_0003847,hereditary disease,False,False,ENSG00000067182,TNFRSF1A,0.8813,P19438,True,,8.0,7KP7,A,NAG,2.65,fallback,0.227,856.0,,,False,CHEMBL3378,CHEMBL3378,CHEMBL3378=128,IC50,128.0
MONDO_0003847,hereditary disease,False,False,ENSG00000142192,APP,0.8812,P05067,True,,53.0,2IPU,D,ACM,1.65,high,0.225,894.0,0.831,0.117,False,CHEMBL2487,CHEMBL2487,CHEMBL2487=2070,IC50,2070.0
MONDO_0003847,hereditary disease,False,False,ENSG00000168036,CTNNB1,0.8808,P35222,True,,30.0,6O9B,B,MES,2.2,high,0.2268,388.0,0.883,0.166,False,CHEMBL3038464;CHEMBL3038511;CHEMBL3885520;CHEMBL3885525;CHEMBL3885541;CHEMBL3885542;CHEMBL4665593;CHEMBL4888449;CHEMBL5291978;CHEMBL5866;CHEMBL6066542,CHEMBL3038511,CHEMBL3038464=0;CHEMBL3038511=549;CHEMBL3885520=0;CHEMBL3885525=327;CHEMBL3885541=43;CHEMBL3885542=6;CHEMBL4665593=1;CHEMBL4888449=5;CHEMBL5291978=0;CHEMBL5866=160;CHEMBL6066542=0,IC50,549.0
MONDO_0003847,hereditary disease,False,False,ENSG00000113327,GABRG2,0.88,P18507,True,,1.0,8BHG,B,NAG,2.39,high,0.2835,1675.0,0.995,0.021,False,CHEMBL2093872;CHEMBL2094120;CHEMBL2094121;CHEMBL2094122;CHEMBL2094130;CHEMBL2095172;CHEMBL2095190;CHEMBL2109243;CHEMBL2111339;CHEMBL2111366;CHEMBL2111370;CHEMBL2111392;CHEMBL2111413;CHEMBL4523638;CHEMBL4523640;CHEMBL4523641;CHEMBL5291949;CHEMBL5303741,CHEMBL2093872,CHEMBL2093872=417;CHEMBL2094120=2;CHEMBL2094121=30;CHEMBL2094122=2;CHEMBL2094130=1;CHEMBL2095172=112;CHEMBL2095190=3;CHEMBL2109243=0;CHEMBL2111339=4;CHEMBL2111366=1;CHEMBL2111370=0;CHEMBL2111392=4;CHEMBL2111413=8;CHEMBL4523638=1;CHEMBL4523640=0;CHEMBL4523641=4;CHEMBL5291949=0;CHEMBL5303741=0,IC50,417.0
MONDO_0003847,hereditary disease,False,False,ENSG00000113580,NR3C1,0.8792,P04150,True,,51.0,4P6W,A,MOF,1.951,high,0.2248,264.0,0.867,0.152,False,CHEMBL2034,CHEMBL2034,CHEMBL2034=5223,IC50,5223.0
MONDO_0003847,hereditary disease,False,False,ENSG00000151623,NR3C2,0.8776,P08235,True,,30.0,9GC7,A,NHE,1.46,high,0.2099,258.0,0.771,0.181,False,CHEMBL1994,CHEMBL1994,CHEMBL1994=1294,IC50,1294.0
MONDO_0003847,hereditary disease,False,False,ENSG00000151090,THRB,0.8774,P10828,True,,34.0,6KKB,X,8HO,1.7,high,0.1973,254.0,0.963,0.064,False,CHEMBL1947;CHEMBL2111462,CHEMBL1947,CHEMBL1947=666;CHEMBL2111462=2,IC50,666.0
MONDO_0003847,hereditary disease,False,False,ENSG00000168610,STAT3,0.8774,P40763,True,,3.0,6NJS,A,KQV,2.7,fallback,0.256,523.0,0.942,0.084,False,CHEMBL4026;CHEMBL4296101;CHEMBL4523691;CHEMBL5482983,CHEMBL4026,CHEMBL4026=1829;CHEMBL4296101=1;CHEMBL4523691=0;CHEMBL5482983=0,IC50,1829.0
MONDO_0003847,hereditary disease,False,False,ENSG00000198400,NTRK1,0.8759,P04629,True,,56.0,5JFX,A,6K4,1.63,high,0.2315,277.0,0.965,0.061,False,CHEMBL2815;CHEMBL3559684;CHEMBL3883331;CHEMBL4523622;CHEMBL4742268,CHEMBL2815,CHEMBL2815=10647;CHEMBL3559684=0;CHEMBL3883331=0;CHEMBL4523622=5;CHEMBL4742268=0,IC50,10647.0
MONDO_0003847,hereditary disease,False,False,ENSG00000117984,CTSD,0.875,P07339,True,,9.0,6QBG,B,NAG,1.8,high,0.247,339.0,0.812,0.126,False,CHEMBL2581,CHEMBL2581,CHEMBL2581=4059,IC50,4059.0
MONDO_0003847,hereditary disease,False,False,ENSG00000180210,F2,0.8747,P00734,True,,150.0,5AFY,H,NAG,1.12,high,0.1382,292.0,0.831,0.122,False,CHEMBL204;CHEMBL2096988;CHEMBL2111379;CHEMBL2111401;CHEMBL2111477,CHEMBL204,CHEMBL204=3920;CHEMBL2096988=0;CHEMBL2111379=0;CHEMBL2111401=0;CHEMBL2111477=0,IC50,3920.0
MONDO_0003847,hereditary disease,False,False,ENSG00000111424,VDR,0.8736,P11473,True,,52.0,3B0T,A,MCZ,1.3,high,0.19897,254.0,0.914,0.069,False,CHEMBL1977;CHEMBL3885632;CHEMBL4748225,CHEMBL1977,CHEMBL1977=688;CHEMBL3885632=0;CHEMBL4748225=0,IC50,688.0
MONDO_0003847,hereditary disease,False,False,ENSG00000092621,PHGDH,0.8733,O43175,True,,21.0,7DKM,A,NAD,1.7,high,0.171,612.0,0.981,0.046,False,CHEMBL2311243,CHEMBL2311243,CHEMBL2311243=1280,IC50,1280.0
MONDO_0003847,hereditary disease,False,False,ENSG00000105397,TYK2,0.8727,P29597,True,,51.0,3LXP,A,IZA,1.65,high,0.22874,286.0,0.922,0.079,False,CHEMBL2363062;CHEMBL3301390;CHEMBL3301391;CHEMBL3301392;CHEMBL3553;CHEMBL6066058,CHEMBL3553,CHEMBL2363062=144;CHEMBL3301390=39;CHEMBL3301391=225;CHEMBL3301392=68;CHEMBL3553=6381;CHEMBL6066058=0,IC50,6381.0
MONDO_0003847,hereditary disease,False,False,ENSG00000186868,MAPT,0.8707,P10636,True,,39.0,4TQE,H,PGE,1.6,high,0.19715,454.0,0.775,0.165,False,CHEMBL1293224;CHEMBL4296122;CHEMBL4296123;CHEMBL4296124;CHEMBL6066025;CHEMBL6193767,CHEMBL1293224,CHEMBL1293224=392;CHEMBL4296122=0;CHEMBL4296123=0;CHEMBL4296124=0;CHEMBL6066025=0;CHEMBL6193767=0,IC50,392.0
MONDO_0003847,hereditary disease,False,False,ENSG00000101076,HNF4A,0.8706,P41235,True,,7.0,8C1L,A,PLM,2.0,high,0.23667,446.0,0.907,0.105,False,CHEMBL5398,CHEMBL5398,CHEMBL5398=241,IC50,241.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000141510,TP53,0.9273,P04637,True,,150.0,6GGB,B,EPE,1.32,high,0.1612,396.0,0.751,0.188,False,CHEMBL1907611;CHEMBL2221344;CHEMBL3301383;CHEMBL3883306;CHEMBL3885543;CHEMBL3885544;CHEMBL3885545;CHEMBL4096;CHEMBL4879538;CHEMBL6066147;CHEMBL6066834,CHEMBL1907611,CHEMBL1907611=1820;CHEMBL2221344=83;CHEMBL3301383=1;CHEMBL3883306=0;CHEMBL3885543=10;CHEMBL3885544=10;CHEMBL3885545=1;CHEMBL4096=29;CHEMBL4879538=0;CHEMBL6066147=0;CHEMBL6066834=0,IC50,1820.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000183454,GRIN2A,0.9185,Q12879,True,,12.0,5H8F,B,GLY,1.81,high,0.2069,557.0,0.983,0.036,False,CHEMBL1907604;CHEMBL1972;CHEMBL2094124;CHEMBL5483086,CHEMBL2094124,CHEMBL1907604=278;CHEMBL1972=88;CHEMBL2094124=617;CHEMBL5483086=1,IC50,617.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000007314,SCN4A,0.9132,P35499,True,,2.0,6MBA,B,CO3,1.799,high,0.2335,275.0,0.847,0.125,False,CHEMBL2072;CHEMBL2331043;CHEMBL4630762,CHEMBL2072,CHEMBL2072=474;CHEMBL2331043=16;CHEMBL4630762=1,IC50,474.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000142192,APP,0.9117,P05067,True,,53.0,2IPU,D,ACM,1.65,high,0.225,894.0,0.831,0.117,False,CHEMBL2487,CHEMBL2487,CHEMBL2487=2070,IC50,2070.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000118271,TTR,0.9081,P02766,True,,150.0,1F86,B,T44,1.1,high,0.177,230.0,0.984,0.092,False,CHEMBL3194,CHEMBL3194,CHEMBL3194=347,IC50,347.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000117394,SLC2A1,0.9047,P11166,True,,5.0,6THA,A,BNG,2.4,high,0.2294,448.0,0.938,0.176,False,CHEMBL2535,CHEMBL2535,CHEMBL2535=1413,IC50,1413.0
MONDO_0005071,nervous system disorder,False,True,ENSG00000171867,PRNP,0.8943,P04156,True,,15.0,4E1H,A,CIT,1.4,high,0.218,72.0,0.744,0.166,False,CHEMBL4869,CHEMBL4869,CHEMBL4869=246,IC50,246.0
